,name,store_page,full_price,discount,final_price,category
119,Stellaris: Ancient Relics Story Pack,https://www.gog.com/game/stellaris_ancient_relics_story_pack,259,,259,strategy
120,Majesty Gold HD,https://www.gog.com/game/majesty_gold_hd,199,,199,strategy
121,Warlords I + II,https://www.gog.com/game/warlords_i_ii,389,,389,strategy
122,Kingdoms and Castles,https://www.gog.com/game/kingdoms_castles,249,,249,strategy
123,Homeworld: Deserts of Kharak - Expedition Guide,https://www.gog.com/game/deserts_of_kharak_expedition_guide,149,-74%,39,strategy
124,Foundation,https://www.gog.com/game/foundation,515,,515,strategy
125,Stellaris: Apocalypse,https://www.gog.com/game/stellaris_apocalypse,435,,435,strategy
126,Overland,https://www.gog.com/game/overland,465,,465,strategy
127,Worms Forts: Under Siege,https://www.gog.com/game/worms_forts_under_siege,149,-74%,39,strategy
128,Fate Hunters,https://www.gog.com/game/fate_hunters,360,,360,strategy
129,Battle Brothers - Warriors of the North,https://www.gog.com/game/battle_brothers_warriors_of_the_north,199,,199,strategy
130,Stronghold HD,https://www.gog.com/game/stronghold,149,,149,strategy
131,Master of Orion 1+2,https://www.gog.com/game/master_of_orion_1_2,199,,199,strategy
132,Panzer General 2,https://www.gog.com/game/panzer_general_2,599,,599,strategy
133,Worms 2,https://www.gog.com/game/worms_2,149,-74%,39,strategy
134,Frostpunk,https://www.gog.com/game/frostpunk,599,,599,strategy
135,Pizza Tycoon 2,https://www.gog.com/game/pizza_connection_2,149,-67%,49,strategy
136,Pizza Tycoon,https://www.gog.com/game/pizza_connection,149,-67%,49,strategy
137,Close Combat 5: Invasion: Normandy - Utah Beach to Cherbourg,https://www.gog.com/game/close_combat_5_invasion_normandy_utah_beach_to_cherbourg,249,,249,strategy
138,Fantasy General II - Invasion Hero Edition,https://www.gog.com/game/fantasy_general_ii_invasion_hero_edition,1085,,1085,strategy
139,Age of Wonders: Planetfall - Revelations,https://www.gog.com/game/age_of_wonders_planetfall_revelations,360,,360,strategy
140,Total Annihilation: Commander Pack,https://www.gog.com/game/total_anihilation_commander_pack,199,,199,strategy
141,Knights and Merchants: The Peasants Rebellion,https://www.gog.com/game/knights_and_merchants_the_peasants_rebellion,169,,169,strategy
142,Worms United,https://www.gog.com/game/worms_united,149,-74%,39,strategy
143,Total Annihilation: Kingdoms + Iron Plague,https://www.gog.com/game/total_annihilation_kingdoms,199,,199,strategy
144,Sid Meier's Civilization® III Complete,https://www.gog.com/game/sid_meiers_civilization_iii_complete,279,,279,strategy
145,Empire Earth 3,https://www.gog.com/game/empire_earth_3,649,,649,strategy
146,Theme Hospital,https://www.gog.com/game/theme_hospital,199,,199,strategy
147,The Settlers® 2: Gold Edition,https://www.gog.com/game/the_settlers_2_gold_edition,599,,599,strategy
148,The Settlers® 4: Gold Edition,https://www.gog.com/game/the_settlers_4_gold_edition,599,,599,strategy
149,BATTLETECH,https://www.gog.com/game/battletech_game,725,,725,strategy
150,Heroes Chronicles: All Chapters,https://www.gog.com/game/heroes_chronicles_all_chapters,599,,599,strategy
151,FTL: Advanced Edition,https://www.gog.com/game/faster_than_light,249,,249,strategy
152,Homeworld: Deserts of Kharak - Soban Fleet Pack,https://www.gog.com/game/deserts_of_kharak_soban_fleet_pack,169,-71%,49,strategy
153,Dawn of Man,https://www.gog.com/game/dawn_of_man,465,,465,strategy
154,Master of Magic,https://www.gog.com/game/master_of_magic,149,,149,strategy
155,Homeworld® Remastered Soundtrack,https://www.gog.com/game/homeworld_remastered_soundtrack,379,-74%,99,strategy
156,Caesar,https://www.gog.com/game/caesar,149,-20%,119,strategy
157,Stronghold Crusader HD,https://www.gog.com/game/stronghold_crusader,249,,249,strategy
158,Homeworld: Deserts of Kharak - Khaaneph Fleet Pack,https://www.gog.com/game/deserts_of_kharak_khaaneph_fleet_pack,169,-77%,39,strategy
159,Into the Breach,https://www.gog.com/game/into_the_breach,349,,349,strategy
160,Heroes of Might and Magic®,https://www.gog.com/game/heroes_of_might_and_magic,599,,599,strategy
161,Stellaris,https://www.gog.com/game/stellaris,699,,699,strategy
162,S.W.I.N.E. HD Remaster,https://www.gog.com/game/swine_hd_remaster,259,-15%,220,strategy
163,Stellaris: Lithoids Species Pack,https://www.gog.com/game/stellaris_lithoids_species_pack,195,,195,strategy
164,BATTLETECH - Heavy Metal,https://www.gog.com/game/battletech_heavy_metal,435,,435,strategy
165,Castles 1+2,https://www.gog.com/game/castles_castles_2,249,-64%,89,strategy
166,Battle Realms + Winter of the Wolf,https://www.gog.com/game/battle_realms_winter_of_the_wolf,649,,649,strategy
167,Stellaris: Ancient Relics Story Pack,https://www.gog.com/game/stellaris_ancient_relics_story_pack,259,,259,strategy
168,Majesty Gold HD,https://www.gog.com/game/majesty_gold_hd,199,,199,strategy
169,Warlords I + II,https://www.gog.com/game/warlords_i_ii,389,,389,strategy
170,Kingdoms and Castles,https://www.gog.com/game/kingdoms_castles,249,,249,strategy
171,Homeworld: Deserts of Kharak - Expedition Guide,https://www.gog.com/game/deserts_of_kharak_expedition_guide,149,-74%,39,strategy
172,Foundation,https://www.gog.com/game/foundation,515,,515,strategy
173,Stellaris: Apocalypse,https://www.gog.com/game/stellaris_apocalypse,435,,435,strategy
